R,T,Mean
1,1,0.61364288134713318445534468992264010012149810791016
1,2,0.41009231124561940085015976364957168698310852050781
1,3,0.27926160905523622624002655356889590620994567871094
1,4,0.19135048460649325963167655118013499304652214050293
1,5,0.13131580802252174056121702960808761417865753173828
1,6,0.09010794372655077377753940481852623634040355682373
1,7,0.062015917464633134315032947370127658359706401824951
1,8,0.042917668634639083435899920004885643720626831054688
1,9,0.029718760805594737067769628424684924539178609848022
1,10,0.020550370847691019904335263390748878009617328643799
1,11,0.014123803556173854245603394019781262613832950592041
1,12,0.0098150713939901650106900632408724050037562847137451
2,1,0.40995363534912632186291148173040710389614105224609
2,2,0.21689002583115651878742369262909051030874252319336
2,3,0.12305707246746321048558314714682637713849544525146
2,4,0.071589683385060262632570982077595544978976249694824
2,5,0.041849976673175019736827806582368793897330760955811
2,6,0.024280698826727287187310366789461113512516021728516
2,7,0.014428921865386652029217273707217827904969453811646
2,8,0.0085532647263115001851074836736188444774597883224487
2,9,0.0051669994770025626934506490783860499504953622817993
2,10,0.0029939791101818405590073712829735086415894329547882
2,11,0.0020278534637076278852874100522285516490228474140167
2,12,0.0012197987754374443099963931658180626982357352972031
3,1,0.27930592478906002273930653245770372450351715087891
3,2,0.12333229591966994587171058128660661168396472930908
3,3,0.062240148179160757757610866747199906967580318450928
3,4,0.033059345212180860085204869847075315192341804504395
3,5,0.017629654644631675974864037925726734101772308349609
3,6,0.0093024477216487461150862259273708332329988479614258
3,7,0.0051133466149008675871723283989922492764890193939209
3,8,0.0025976395354311908152122878590262189391069114208221
3,9,0.0012705180949026135400758974469681561458855867385864
3,10,0.00080488993612452147154157078290381832630373537540436
3,11,0.00033917012284864322523708635159778168599586933851242
3,12,-1.6257987586178225570285402895587267835253442171961e-06
4,1,0.19121382749794221811434624669345794245600700378418
4,2,0.071539944019606449554515847921720705926418304443359
4,3,0.032818546908222161195833876945471274666488170623779
4,4,0.016244462031408231361684357807462220080196857452393
4,5,0.0081115714083553249608149471328033541794866323471069
4,6,0.0039727858484951859494027637254021101398393511772156
4,7,0.0021678975868155811630721974125890483264811336994171
4,8,0.00084553260841311781402518388262024018331430852413177
4,9,0.00031668654090741445031667589127266637660795822739601
4,10,0.00034832791105802069246341612362982687045587226748466
4,11,8.7461036931382250109688614170266873770742677152157e-05
4,12,3.548343714577818628535046951988363161945017054677e-05
5,1,0.13111598420284162336280076033290242776274681091309
5,2,0.04191114347838606479790257708373246714472770690918
5,3,0.017590466480341137439635801342774357181042432785034
5,4,0.0081508679552299290183015045840875245630741119384766
5,5,0.0040371590408518577205998489887406321940943598747253
5,6,0.0018784192469516209234720038878663217474240809679031
5,7,0.00094745518338333882969043431288014289748389273881912
5,8,0.00066042930071233028280902610518410256190691143274307
5,9,0.00037906198295723056608530487920916129951365292072296
5,10,0.00036706844798562625938748160692171040864195674657822
5,11,8.3517985314996863433455176473074743626057170331478e-05
5,12,-0.00053973537307259490669597568057724856771528720855713
6,1,0.09006834927332782458897497690486488863825798034668
6,2,0.024559486784116069113537150769843719899654388427734
6,3,0.0094778896553498054311504006363975349813699722290039
6,4,0.004268558394026756956651791341528223711065948009491
6,5,0.0020145997784623672147152895206545508699491620063782
6,6,0.0010367752995521178991517041723113834450487047433853
6,7,0.00069109441586457070593602081132189596246462315320969
6,8,0.00040482620943077507989771302021608789800666272640228
6,9,0.00011459768048441649676821157965989073090895544737577
6,10,0.00020080080381674377258856278860577049272251315414906
6,11,2.9387127526338971080822892734119022861705161631107e-05
6,12,3.7370614025027169922271719215700613858643919229507e-05
7,1,0.062010897775372594842302476081385975703597068786621
7,2,0.014436615088892270145071172748885146575048565864563
7,3,0.0049625370781235002282105739368489594198763370513916
7,4,0.0017340262656100669837189176547553870477713644504547
7,5,0.00082925362415630385435477700539763645792845636606216
7,6,0.00056892140285841991901444325563375059573445469141006
7,7,0.00049479699130209567770749545800867963407654315233231
7,8,6.5026173917099834922983525586914765881374478340149e-05
7,9,-2.1879575589007993431569371045597449665365274995565e-05
7,10,0.00013729691803200701617597434545103851633029989898205
7,11,-0.00029200550712240463686192315506673367053736001253128
7,12,-3.4820868420355112634288763384660114752477966248989e-05
8,1,0.042690976973633082414139039428846444934606552124023
8,2,0.0086310627801736150566114247340010479092597961425781
8,3,0.0025422433274367088433531858271408054861240088939667
8,4,0.0011130873851538153253976082268650316109415143728256
8,5,0.00030343388430572449223146525021377328812377527356148
