R,T,Mean,Stdev
1,1,0.613544,0.000127835
1,2,0.410083,0.000165103
1,3,0.279302,0.000180081
1,4,0.191193,0.0001844
1,5,0.131049,0.000183811
1,6,0.0899263,0.000181326
1,7,0.0618742,0.000178392
1,8,0.0424745,0.000175678
1,9,0.0291987,0.000173333
1,10,0.0202537,0.000171563
1,11,0.0138582,0.000170235
1,12,0.00936982,0.000169236
2,1,0.410156,0.000165161
2,2,0.217103,0.000183548
2,3,0.123165,0.000183371
2,4,0.0711621,0.000179448
2,5,0.0414057,0.000175372
2,6,0.0240978,0.000172285
2,7,0.0141009,0.000170287
2,8,0.00828128,0.000169066
2,9,0.00492237,0.000168316
2,10,0.00289007,0.00016794
2,11,0.00145877,0.000167321
2,12,0.000925115,0.000167231
3,1,0.279567,0.000180137
3,2,0.123265,0.000183413
3,3,0.0624824,0.000178301
3,4,0.0331176,0.000174142
3,5,0.0175391,0.000171079
3,6,0.00922601,0.000169286
3,7,0.00501307,0.000168345
3,8,0.00256192,0.000167643
3,9,0.00158325,0.00016744
3,10,0.000997889,0.000167334
3,11,0.000481986,0.000167229
3,12,0.00023967,0.000167246
4,1,0.191532,0.000184399
4,2,0.0713311,0.000179306
4,3,0.0328754,0.000173885
4,4,0.0162817,0.000170693
4,5,0.00816531,0.000169041
4,6,0.0041969,0.00016816
4,7,0.0021651,0.000167567
4,8,0.00110561,0.000167309
4,9,0.000703096,0.000167254
4,10,0.000392434,0.0001672
4,11,0.000168815,0.000167019
4,12,-8.36615e-05,0.000167132
5,1,0.131064,0.000183747
5,2,0.0418283,0.000175409
5,3,0.0174786,0.000171073
5,4,0.00816723,0.000169072
5,5,0.00366419,0.00016799
5,6,0.00167043,0.00016748
5,7,0.00114717,0.000167405
5,8,0.000751407,0.000167171
5,9,0.000682194,0.000167194
5,10,0.000341324,0.000167142
5,11,0.000248285,0.000167172
5,12,-0.000182836,0.000166942
6,1,0.0895608,0.000181042
6,2,0.0244713,0.000172383
6,3,0.00941856,0.00016932
6,4,0.00439683,0.000168066
6,5,0.00188139,0.00016762
6,6,0.000667345,0.000167136
6,7,0.000366168,0.000167112
6,8,1.488e-06,0.000167075
6,9,-7.64569e-05,0.000167154
6,10,0.000123332,0.000167071
6,11,-0.000223833,0.000166976
6,12,-0.000138753,0.000167115
7,1,0.0612408,0.000178142
7,2,0.014445,0.000170401
7,3,0.00510581,0.000168125
7,4,0.00221614,0.000167696
7,5,0.00132391,0.000167433
7,6,0.000739466,0.000167318
7,7,4.50756e-06,0.000167066
7,8,-0.000104556,0.000167118
7,9,-4.82112e-05,0.000167085
7,10,0.000104881,0.00016702
7,11,6.24957e-05,0.00016709
7,12,-0.00010205,0.000166963
8,1,0.0419796,0.000175415
8,2,0.0087276,0.000169248
8,3,0.00240204,0.000167553
8,4,0.00101737,0.000167393
8,5,0.000432796,0.000167222
8,6,0.000567848,0.00016737
8,7,1.03856e-05,0.000167072
8,8,-0.000306939,0.000166862
8,9,-6.18838e-05,0.00016703
8,10,3.35426e-05,0.000167019
8,11,0.000271394,0.000166899
8,12,0.000170465,0.000167134
9,1,0.0288917,0.000173127
9,2,0.00519969,0.000168375
9,3,0.00132073,0.000167304
9,4,0.000349529,0.000167115
9,5,-4.81955e-05,0.000167038
9,6,-8.54882e-05,0.000166922
9,7,8.03063e-05,0.00016715
9,8,-0.000128802,0.000166982
9,9,-0.000303099,0.000166884
9,10,-8.49856e-05,0.000166912
9,11,0.000145515,0.000167111
9,12,5.59686e-05,0.000167093
10,1,0.019855,0.000171455
10,2,0.00291932,0.000167666
10,3,0.00095626,0.000167277
10,4,0.00023544,0.000167048
10,5,8.32808e-05,0.000167115
10,6,0.000317691,0.000167187
10,7,-0.000128443,0.000167057
10,8,-0.000163767,0.000166953
10,9,7.34158e-05,0.000167028
10,10,-6.17616e-05,0.000166917
10,11,-0.000225745,0.000166891
10,12,-0.000326446,0.00016702
11,1,0.0136098,0.000170343
11,2,0.00160587,0.000167318
11,3,0.000429042,0.000167269
11,4,-2.82851e-05,0.000167057
11,5,0.000345324,0.000167071
11,6,-0.000214287,0.000166897
11,7,-4.57588e-05,0.000167058
11,8,0.000142924,0.00016706
11,9,2.42241e-05,0.000167173
11,10,-0.000103526,0.000166947
11,11,0.00036016,0.000167012
11,12,4.74272e-05,0.000167008
12,1,0.00940533,0.00016941
12,2,0.00100935,0.000167293
12,3,0.000176147,0.000167109
12,4,4.3059e-05,0.000167111
12,5,0.000134604,0.000167157
12,6,-9.36802e-05,0.000166958
12,7,4.5513e-05,0.000167192
12,8,-1.84092e-05,0.000167064
12,9,0.000224693,0.000167165
12,10,0.000100586,0.000166965
12,11,-0.000172914,0.000167086
12,12,0.000160516,0.000167023
